288
16,3328
0,3231
7,3277
0,3335
12,3335
3,3295
0,3320
12,3329
3,3275
3,3291
16,3316
3,3255
0,3332
0,3272
8,3282
8,3323
8,3334
0,3312
1,3263
11,3325
26,3240
0,3321
0,3288
4,3312
0,3312
0,3296
0,3320
8,3280
20,3252
3,3229
0,3225
1,3243
3,3323
8,3335
0,3296
8,3282
0,3328
0,3273
0,3317
0,3328
3,3311
27,3323
3,3215
15,3307
0,3223
0,3237
3,3223
0,3335
0,3290
16,3296
0,3333
0,3336
16,3264
3,3241
0,3295
1,3331
0,3332
0,3296
16,3297
4,3345
23,3327
3,3243
7,3263
4,3353
15,3295
21,3248
0,3284
0,3320
5,3319
0,3316
15,3315
0,3231
1,3279
12,3337
0,3342
18,3339
1,3299
6,3331
0,3312
1,3367
0,3298
8,3274
8,3253
10,3228
0,3337
7,3321
0,3342
16,3312
3,3315
13,3317
0,3227
7,3285
1,3239
3,3263
7,3239
7,3255
0,3304
16,3284
15,3323
23,3244
0,3276
0,3308
0,3266
16,3234
9,3342
3,3271
11,3327
7,3303
5,3343
12,3333
3,3263
15,3309
0,3231
0,3243
0,3227
0,3339
4,3329
0,3321
3,3277
0,3311
3,3271
2,3343
16,3276
23,3325
0,3323
1,3334
8,3349
3,3279
24,3359
3,3271
0,3345
7,3319
0,3328
14,3339
3,3247
6,3336
8,3321
16,3288
15,3295
0,3275
17,3363
3,3239
23,3315
3,3243
10,3349
3,3231
0,3295
0,3320
0,3256
0,3272
0,3332
5,3341
0,3320
0,3324
1,3295
15,3317
1,3227
15,3263
15,3244
0,3330
0,3321
1,3253
3,3231
1,3263
7,3263
7,3245
1,3339
0,3332
0,3264
0,3312
0,3315
0,3317
4,3332
0,3324
16,3300
7,3275
15,3333
0,3231
0,3334
0,3335
3,3311
15,3279
0,3223
8,3341
8,3338
0,3301
16,3296
0,3341
4,3320
0,3288
0,3252
4,3272
24,3240
5,3335
8,3306
0,3252
16,3296
7,3295
0,3338
8,3284
8,3264
20,3248
0,3247
0,3323
0,3328
0,3328
16,3340
1,3259
15,3303
0,3219
7,3283
8,3337
0,3319
7,3309
0,3335
19,3333
1,3263
0,3283
0,3320
16,3268
7,3277
3,3339
0,3328
0,3328
0,3334
0,3328
0,3303
0,3331
0,3316
0,3252
16,3304
23,3279
3,3239
1,3339
0,3272
16,3292
0,3296
8,3349
16,3316
0,3221
11,3319
0,3211
3,3247
0,3263
12,3327
3,3243
0,3335
0,3312
8,3316
5,3345
16,3338
15,3279
23,3236
0,3284
0,3313
0,3298
16,3288
15,3279
3,3239
8,3341
0,3328
0,3338
4,3284
0,3313
16,3328
0,3263
8,3354
0,3290
0,3280
16,3336
3,3263
15,3319
0,3223
3,3263
7,3271
0,3323
12,3351
1,3223
15,3279
23,3230
8,3312
0,3274
16,3248
3,3263
1,3319
14,3329
3,3219
7,3219
3,3291
0,3239
23,3343
7,3239
1,3337
14,3315
3,3231
31,3233
0,3264
16,3264
7,3287
0,3336
32,3339
3,3287
0,3353
0,3296
16,3256
0,3223
0,3237
13,3341
0,3263
24,3331
1,3221
7,3255
23,3295
22,3240
16,3254
3,3291
8,3342
4,3342
0,3306
0,3328
7,3285
0,3344
20,3346
7,3247
7,3239
7,3323
11,3333
3,3223
7,3263
7,3295
1,3239
0,3261
0,3328
12,3345
0,3340
